"index"	"Unnamed: 0"	"Unnamed: 1"	"Unnamed: 2"	"区分"	"入札公告（現在募集中）"	"備考"	"落札情報（過去）"	"備考.1"
1930	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2cfxvxms"	"（R4)公共工事：5月期：PDF"
1931	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2cvhjpjh"	"（R4)公共工事：4月期：PDF"
1932	"地方防衛局"	"沖縄防衛支局"						
1933	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/29hqope9"	"（R6)物品役務：11月期：PDF"
1934	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/297dp2b9"	"（R6)物品役務：10月期：PDF"
1935	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/297rtudp"	"（R6)物品役務：9月期：PDF"
1936	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/27csgd6q"	"（R6)物品役務：8月期：PDF"
1937	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2a685oe9"	"（R6)物品役務：7月期：PDF"
1938	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/22efntpx"	"（R6)物品役務：6月期：PDF"
1939	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/28wvvhps"	"（R6)物品役務：5月期：PDF"
1940	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/26gsqkcx"	"（R6)物品役務：4月期：PDF"
1941	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2ydnldar"	"（R5)物品役務：3月期：PDF"
1942	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/22g33hkf"	"（R5)物品役務：2月期：PDF"
1943	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/26hdr4y8"	"（R5)物品役務：1月期：PDF"
1944	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/23yoghtz"	"（R5)物品役務：12月期：PDF"
1945	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/22yklaj3"	"（R5)物品役務：11月期：PDF"
1946	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/26fjnx76"	"（R5)物品役務：10月期：PDF"
1947	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2yz99kvk"	"（R5)物品役務：9月期：PDF"
1948	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/26wtt3gp"	"（R5)物品役務：8月期：PDF"
1949	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2yxg6arg"	"（R5)物品役務：7月期：PDF"
1950	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/245wh6mm"	"（R5)物品役務：6月期：PDF"
1951	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/24z6nerg"	"（R5)物品役務：5月期：PDF"
1952	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/28lalw6a"	"（R5)物品役務：4月期：PDF"
1953	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2xotc4ep"	"（R4)物品役務：3月期：PDF"
1954	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2583mpwd"	"（R4)物品役務：2月期：PDF"
1955	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2y2ggmqp"	"（R4)物品役務：1月期：PDF"
1956	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2b8cm8ql"	"（R4)物品役務：12月期：PDF"
1957	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/26okmymd"	"（R4)物品役務：11月期：PDF"
1958	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/28q3ympn"	"（R4)物品役務：10月期：PDF"
1959	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/23w8jft2"	"（R4)物品役務：9月期：PDF"
1960	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/227nbp8w"	"（R4)物品役務：8月期：PDF"
1961	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2xtz74hy"	"（R4)物品役務：7月期：PDF"
1962	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/27bd6htp"	"（R4)物品役務：6月期：PDF"
1963	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/23jw69hm"	"（R4)物品役務：5月期：PDF"
1964	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/294qt4lf"	"（R4)物品役務：4月期：PDF"
1965	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2bexapfy"	"（R6)随意契約結果"
1966	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/27f9ryqn"	"（R5)随意契約結果"
1967	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2xq5b64o"	"（R4)随意契約結果"
1968	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2y3bate8"	"（R3)随意契約結果"
1969	"地方防衛局"	"沖縄防衛支局"						
1970	"地方防衛局"	"沖縄防衛支局"		"物品・役務(一般競争入札)（政府調達）"	"https://tinyurl.com/2d2rn3db"	"記載なし"	"https://tinyurl.com/2xo8s2ew"	"（R6)随意契約：PDF"
1971	"地方防衛局"	"沖縄防衛支局"		"（R6)物品・役務(一般競争入札)（政府調達以外）"	"https://tinyurl.com/28l5mzp9"	"PDF"	"https://tinyurl.com/2adhr6y2"	"（R5)随意契約：PDF"
1972	"地方防衛局"	"沖縄防衛支局"		"（R5)物品・役務(一般競争入札)（政府調達以外）"	"https://tinyurl.com/28l5mzp9"	"PDF"	"https://tinyurl.com/26a7mdhy"	"（R4)随意契約：PDF"
1973	"地方防衛局"	"沖縄防衛支局"		"（R4)物品・役務(一般競争入札)（政府調達以外）"	"https://tinyurl.com/28l5mzp9"	"PDF"	"https://tinyurl.com/2bggd9jo"	"（R3)随意契約：PDF"
1974	"地方防衛局"	"沖縄防衛支局"		"（R6)オープンカウンター"	"https://tinyurl.com/2b3zb7n3"	"PDF"	"https://tinyurl.com/2d7ddo33"	"（R2)随意契約：PDF"
1975	"地方防衛局"	"沖縄防衛支局"						
1976	"地方防衛局"	"沖縄防衛支局"	"公募に関する公示"	"（R6)乗用自動車（タクシー）の借上"	"https://tinyurl.com/2yx7wc35"	"PDF"		
1977	"地方防衛局"	"沖縄防衛支局"		"（R6)防衛研究所における校閲等を伴う刊行物等について"	"https://tinyurl.com/2bjdnae2"	"PDF"		
1978	"地方防衛局"	"沖縄防衛支局"		"（R6)翻訳等役務"	"https://tinyurl.com/2xw5k7tv"	"PDF"		
1979	"地方防衛局"	"沖縄防衛支局"		"（R5)防衛研究所における校閲等を伴う刊行物について"	"https://tinyurl.com/2yrbpmbr"	"PDF"		
1980	"地方防衛局"	"沖縄防衛支局"		"（R5)防衛研究所における翻訳を伴う刊行物等について"	"https://tinyurl.com/22wnur37"	"PDF"		
1981	"地方防衛局"	"沖縄防衛支局"		"（R5)乗用自動車（タクシー）の借上"	"https://tinyurl.com/25ay8oyb"	"PDF"		
1982	"地方防衛局"	"沖縄防衛支局"		"（R5)翻訳等役務について"	"https://tinyurl.com/2crhyktz"	"PDF"		
1983	"地方防衛局"	"沖縄防衛支局"		"（R4)防衛研究所における校閲等を伴う刊行物について"	"https://tinyurl.com/24nk22nz"	"PDF"		
1984	"地方防衛局"	"沖縄防衛支局"		"（R4)防衛研究所ホームページの改修について"	"https://tinyurl.com/28vjys9s"	"PDF"		
1985	"地方防衛局"	"沖縄防衛支局"		"（R4)防衛研究所における翻訳を伴う刊行物等について"	"https://tinyurl.com/232ckuoy"	"PDF"		
1986	"地方防衛局"	"沖縄防衛支局"		"（R4)「中国安全保障レポート」日本語版、英語版及び中国語版の刊行"	"https://tinyurl.com/2656hwk6"	"PDF"		
1987	"地方防衛局"	"沖縄防衛支局"		"（R4)タクシー借上"	"https://tinyurl.com/25bgthex"	"PDF"		
1988	"地方防衛局"	"沖縄防衛支局"						
1989	"地方防衛局"	"沖縄防衛支局"		"オープンカウンター"	"https://tinyurl.com/248qmzux"		"https://tinyurl.com/2yoevjw3"	"随意契約：PDF"
1990	"地方防衛局"	"沖縄防衛支局"		"一般競争入札（政府調達以外）"	"https://tinyurl.com/253w646k"		"https://tinyurl.com/2bl79a99"	"（R6)政府調達：PDF"
1991	"地方防衛局"	"沖縄防衛支局"		"一般競争入札（政府調達）"	"https://tinyurl.com/29genrjx"		"https://tinyurl.com/279rwtw4"	"（R6)政府調達(随意契約予定）：PDF"
1992	"地方防衛局"	"沖縄防衛支局"		"一般競争入札（競争的研究資金）"	"https://tinyurl.com/27aolyfu"		"https://tinyurl.com/28uec8co"	"（R5)政府調達：PDF"
1993	"地方防衛局"	"沖縄防衛支局"		"公募の公示"	"https://tinyurl.com/28u8l8na"		"https://tinyurl.com/2yvegqwk"	"（R5)政府調達：PDF"
1994	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/24a6dstz"	"（R5)政府調達(随意契約予定）：PDF"
1995	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/27e9pgx5"	"（R5)政府調達(随意契約予定）：PDF"
1996	"地方防衛局"	"沖縄防衛支局"					"https://tinyurl.com/2bo6e2ul"	"（R5)政府調達：PDF"
1997	"地方防衛局"	"沖縄防衛支局"					"記載なし"	"（R6)11月：競争入札に係る情報の公表（公共工事）：PDF"
1998	"地方防衛局"	"沖縄防衛支局"					"記載なし"	"（R6)10月：競争入札に係る情報の公表（公共工事）PDF"
